Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,ship_days,order_month,order_quarter,order_dayofweek,order_year,order_day,is_profitable,high_discount,is_standard_shipping
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,5,7,3,6,2016,17,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,6.63,3,0.0,4,12,4,3,2017,21,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,5.88,2,0.0,4,12,4,3,2017,21,1,0,1
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,5.46,3,0.0,5,4,2,1,2016,19,1,0,0
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,73.2,5,0.0,5,4,2,1,2016,19,1,0,0
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,22.72,4,0.0,5,4,2,1,2016,19,1,0,0
First Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,45.36,7,0.0,3,12,4,6,2016,25,1,0,0
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Fasteners,11.34,3,0.0,4,10,4,4,2014,31,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,80.3,5,0.0,4,10,4,4,2014,31,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,64.74,13,0.0,4,10,4,4,2014,31,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,405.64,4,0.0,4,10,4,4,2014,31,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Art,12.39,3,0.0,4,10,4,4,2014,31,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Appliances,60.81,3,0.0,4,6,2,5,2016,25,1,0,1
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,90.24,6,0.0,2,12,4,5,2014,13,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,305.01,9,0.0,5,11,4,6,2017,19,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,13.12,4,0.0,5,4,2,4,2014,18,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,10.75,5,0.0,5,4,2,4,2014,18,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,11.62,2,0.0,5,4,2,4,2014,18,1,0,1
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,12.96,2,0.0,3,7,3,6,2016,3,1,0,0
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,3.96,2,0.0,3,7,3,6,2016,3,1,0,0
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Art,11.68,2,0.0,5,9,3,4,2015,18,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Supplies,16.9,2,0.0,5,9,3,4,2015,18,1,0,1
First Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Supplies,6.28,2,0.0,3,10,4,1,2014,28,1,0,0
First Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Supplies,480.74,2,0.0,3,10,4,1,2014,28,1,0,0
First Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,141.4,5,0.0,3,10,4,1,2014,28,1,0,0
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,113.82,3,0.0,4,11,4,4,2015,27,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,15.26,7,0.0,5,11,4,3,2016,3,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Appliances,43.32,2,0.0,5,11,4,3,2016,3,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,116.28,3,0.0,5,11,4,3,2016,3,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,19.44,3,0.0,5,11,4,3,2016,3,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,314.55,3,0.0,5,11,4,3,2016,3,1,0,1
Second Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Envelopes,271.44,3,0.0,5,12,4,4,2015,4,1,0,0
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,130.71,3,0.0,1,6,2,3,2017,29,1,0,0
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,11.68,2,0.0,1,6,2,3,2017,29,1,0,0
Second Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,79.14,3,0.0,2,4,2,5,2017,15,1,0,0
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,19.44,3,0.0,2,1,1,0,2014,6,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,19.36,2,0.0,5,1,1,0,2014,20,1,0,1
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Labels,44.4,3,0.0,7,11,4,5,2014,1,1,0,1
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,21.4,5,0.0,7,11,4,5,2014,1,1,0,1
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,5.88,2,0.0,2,10,4,3,2017,12,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,68.52,3,0.0,4,12,4,2,2015,30,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,74.94,3,0.0,4,12,4,2,2015,30,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Envelopes,271.44,3,0.0,4,12,4,2,2015,30,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,19.44,3,0.0,6,4,2,6,2014,6,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,55.48,1,0.0,6,4,2,6,2014,6,1,0,1
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,9.84,3,0.0,1,11,4,0,2016,14,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,772.68,4,0.0,6,12,4,5,2016,3,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Envelopes,304.9,5,0.0,4,9,3,5,2016,24,1,0,1
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,38.88,6,0.0,4,5,2,0,2016,30,1,0,1
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,8.64,3,0.0,3,12,4,6,2014,7,1,0,0
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,49.56,7,0.0,3,5,2,0,2017,22,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,15.7,5,0.0,4,5,2,1,2017,2,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,59.52,3,0.0,4,5,2,1,2017,2,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,34.4,5,0.0,4,5,2,1,2017,2,1,0,1
