Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,ship_days,order_month,order_quarter,order_dayofweek,order_year,order_day,margin_potential
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,5,7,3,6,2016,17,77.88
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,6.63,3,0.0,1.7901,4,12,4,3,2017,21,6.63
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,5.88,2,0.0,1.7052,4,12,4,3,2017,21,5.88
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,5.46,3,0.0,1.5288,5,4,2,1,2016,19,5.46
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,73.2,5,0.0,21.228,5,4,2,1,2016,19,73.2
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,22.72,4,0.0,10.224,5,4,2,1,2016,19,22.72
First Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,45.36,7,0.0,21.7728,3,12,4,6,2016,25,45.36
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Fasteners,11.34,3,0.0,5.2164,4,10,4,4,2014,31,11.34
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,80.3,5,0.0,20.878,4,10,4,4,2014,31,80.3
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,64.74,13,0.0,30.4278,4,10,4,4,2014,31,64.74
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,405.64,4,0.0,12.1692,4,10,4,4,2014,31,405.64
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Art,12.39,3,0.0,3.717,4,10,4,4,2014,31,12.39
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Appliances,60.81,3,0.0,17.0268,4,6,2,5,2016,25,60.81
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,90.24,6,0.0,41.5104,2,12,4,5,2014,13,90.24
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,305.01,9,0.0,76.2525,5,11,4,6,2017,19,305.01
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,13.12,4,0.0,3.8048,5,4,2,4,2014,18,13.12
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,10.75,5,0.0,3.5475,5,4,2,4,2014,18,10.75
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,11.62,2,0.0,3.6022,5,4,2,4,2014,18,11.62
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,12.96,2,0.0,6.2208,3,7,3,6,2016,3,12.96
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,3.96,2,0.0,0.0792,3,7,3,6,2016,3,3.96
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Art,11.68,2,0.0,5.4896,5,9,3,4,2015,18,11.68
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Supplies,16.9,2,0.0,5.07,5,9,3,4,2015,18,16.9
First Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Supplies,6.28,2,0.0,0.0628,3,10,4,1,2014,28,6.28
First Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Supplies,480.74,2,0.0,14.4222,3,10,4,1,2014,28,480.74
First Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,141.4,5,0.0,38.178,3,10,4,1,2014,28,141.4
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,113.82,3,0.0,53.4954,4,11,4,4,2015,27,113.82
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,15.26,7,0.0,5.0358,5,11,4,3,2016,3,15.26
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Appliances,43.32,2,0.0,14.2956,5,11,4,3,2016,3,43.32
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,116.28,3,0.0,56.9772,5,11,4,3,2016,3,116.28
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,19.44,3,0.0,9.3312,5,11,4,3,2016,3,19.44
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,314.55,3,0.0,150.984,5,11,4,3,2016,3,314.55
Second Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Envelopes,271.44,3,0.0,122.148,5,12,4,4,2015,4,271.44
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,130.71,3,0.0,39.213,1,6,2,3,2017,29,130.71
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,11.68,2,0.0,3.0368,1,6,2,3,2017,29,11.68
Second Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,79.14,3,0.0,36.4044,2,4,2,5,2017,15,79.14
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,19.44,3,0.0,9.3312,2,1,1,0,2014,6,19.44
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,19.36,2,0.0,9.2928,5,1,1,0,2014,20,19.36
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Labels,44.4,3,0.0,22.2,7,11,4,5,2014,1,44.4
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,21.4,5,0.0,9.63,7,11,4,5,2014,1,21.4
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,5.88,2,0.0,1.5876,2,10,4,3,2017,12,5.88
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,68.52,3,0.0,31.5192,4,12,4,2,2015,30,68.52
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,74.94,3,0.0,14.2386,4,12,4,2,2015,30,74.94
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Envelopes,271.44,3,0.0,122.148,4,12,4,2,2015,30,271.44
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,19.44,3,0.0,9.3312,6,4,2,6,2014,6,19.44
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,55.48,1,0.0,26.6304,6,4,2,6,2014,6,55.48
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,9.84,3,0.0,2.8536,1,11,4,0,2016,14,9.84
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,772.68,4,0.0,108.1752,6,12,4,5,2016,3,772.68
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Envelopes,304.9,5,0.0,143.303,4,9,3,5,2016,24,304.9
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,38.88,6,0.0,18.6624,4,5,2,0,2016,30,38.88
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,8.64,3,0.0,2.4192,3,12,4,6,2014,7,8.64
First Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,49.56,7,0.0,18.8328,3,5,2,0,2017,22,49.56
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,15.7,5,0.0,7.065,4,5,2,1,2017,2,15.7
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,59.52,3,0.0,15.4752,4,5,2,1,2017,2,59.52
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Paper,34.4,5,0.0,15.824,4,5,2,1,2017,2,34.4
Same Day,Home Office,Los Angeles,California,90049,West,Office Supplies,Appliances,106.96,2,0.0,31.0184,0,4,2,1,2014,15,106.96
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,9.96,2,0.0,4.8804,4,12,4,4,2015,25,9.96
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,33.36,4,0.0,16.68,7,3,1,0,2015,23,33.36
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,892.35,5,0.0,267.705,7,8,3,4,2015,28,892.35
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,728.82,9,0.0,29.1528,7,8,3,4,2015,28,728.82
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Labels,2.88,1,0.0,1.4112,4,7,3,2,2014,9,2.88
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Storage,23.92,4,0.0,4.0664,4,7,3,2,2014,9,23.92
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,5.94,3,0.0,0.1188,4,7,3,4,2017,7,5.94
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,12.96,2,0.0,6.2208,4,2,1,3,2014,20,12.96
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Labels,12.6,4,0.0,6.048,5,12,4,5,2015,5,12.6
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Appliances,168.1,5,0.0,43.706,7,7,3,1,2017,11,168.1
Second Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Appliances,61.44,3,0.0,16.5888,4,9,3,1,2015,22,61.44
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,32.4,5,0.0,15.552,5,11,4,0,2016,21,32.4
Same Day,Home Office,Los Angeles,California,90049,West,Office Supplies,Art,6.72,4,0.0,3.36,0,11,4,0,2014,3,6.72
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,93.02,2,0.0,3.7208,5,2,1,3,2016,4,93.02
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Art,5.76,2,0.0,1.6704,7,8,3,0,2016,22,5.76
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,34.24,8,0.0,9.9296,5,11,4,1,2017,14,34.24
Second Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,4,1,1,5,2016,16,90.57
Standard Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,1265.85,3,0.0,556.974,5,12,4,5,2015,19,1265.85
First Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,254.24,7,0.0,76.272,3,12,4,6,2016,25,254.24
Standard Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,251.91,9,0.0,47.8629,4,10,4,4,2014,31,251.91
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,227.36,7,0.0,81.8496,7,1,1,4,2015,30,227.36
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,18.7,1,0.0,7.106,5,11,4,6,2017,19,18.7
First Class,Home Office,Los Angeles,California,90049,West,Furniture,Furnishings,44.46,2,0.0,14.6718,1,12,4,1,2014,16,44.46
First Class,Home Office,Los Angeles,California,90049,West,Technology,Accessories,395.0,5,0.0,39.5,1,12,4,1,2014,16,395.0
Standard Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,24.4,2,0.0,10.248,5,9,3,4,2015,18,24.4
Standard Class,Home Office,Los Angeles,California,90049,West,Technology,Accessories,107.97,3,0.0,22.6737,4,11,4,4,2015,27,107.97
Second Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,36.4,5,0.0,13.832,5,12,4,4,2015,4,36.4
First Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,62.31,3,0.0,22.4316,1,6,2,3,2017,29,62.31
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,19.3,2,0.0,5.79,5,1,1,0,2014,20,19.3
Second Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,435.84,12,0.0,130.752,2,10,4,3,2017,12,435.84
Standard Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,91.96,2,0.0,15.6332,6,4,2,6,2014,6,91.96
Standard Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,33.11,7,0.0,12.9129,6,4,2,6,2014,6,33.11
Second Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,159.56,4,0.0,59.0372,3,5,2,1,2017,2,159.56
Same Day,Home Office,Los Angeles,California,90049,West,Furniture,Furnishings,187.76,4,0.0,76.9816,0,4,2,1,2014,15,187.76
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,4.16,2,0.0,1.7472,7,8,3,4,2015,28,4.16
Standard Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,148.02,3,0.0,41.4456,6,8,3,1,2017,29,148.02
Standard Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,39.0,3,0.0,17.55,5,12,4,5,2015,5,39.0
Standard Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,1287.45,5,0.0,244.6155,7,7,3,1,2017,11,1287.45
Second Class,Home Office,Los Angeles,California,90049,West,Technology,Accessories,159.98,2,0.0,47.994,2,9,3,5,2017,30,159.98
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,119.94,3,0.0,23.988,4,11,4,3,2017,16,119.94
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,12.42,3,0.0,4.4712,4,11,4,3,2017,16,12.42
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691,1,5,2,2,2016,11,5.98
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Art,9.32,4,0.0,2.7028,5,3,1,5,2017,4,9.32
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.25,1,0.0,7.015,5,3,1,5,2017,4,15.25
First Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Labels,29.6,2,0.0,14.8,3,6,2,5,2017,10,29.6
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,20.7,2,0.0,9.936,5,6,2,4,2016,10,20.7
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,32.4,5,0.0,15.552,5,6,2,4,2016,10,32.4
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Paper,146.82,3,0.0,73.41,5,2,1,5,2016,13,146.82
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,204.6,2,0.0,53.196,4,9,3,0,2014,29,204.6
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Fasteners,8.72,4,0.0,2.8776,4,9,3,0,2014,29,8.72
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,3.1104,4,9,3,0,2014,29,6.48
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,62.18,1,0.0,16.7886,4,9,3,0,2014,29,62.18
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.28,2,0.0,7.4872,5,11,4,0,2017,6,15.28
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,8.73,1,0.0,2.9682,5,11,4,0,2017,6,8.73
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,5.68,2,0.0,1.7608,5,11,4,0,2017,6,5.68
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,142.86,1,0.0,41.4294,5,12,4,2,2014,24,142.86
Standard Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,9.94,2,0.0,3.0814,7,11,4,3,2016,24,9.94
Standard Class,Consumer,Los Angeles,California,90045,West,Technology,Accessories,1115.91,9,0.0,200.8638,4,10,4,5,2017,7,1115.91
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,11.96,2,0.0,5.8604,4,11,4,2,2014,12,11.96
Standard Class,Corporate,Los Angeles,California,90045,West,Technology,Accessories,479.94,6,0.0,52.7934,6,3,1,3,2017,2,479.94
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,323.1,2,0.0,61.389,4,8,3,5,2015,15,323.1
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Appliances,105.96,4,0.0,29.6688,5,8,3,1,2015,25,105.96
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,114.46,2,0.0,28.615,2,1,1,6,2016,3,114.46
Second Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,3.1752,2,7,3,4,2014,25,6.48
Second Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Supplies,15.52,4,0.0,4.5008,2,7,3,4,2014,25,15.52
First Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Paper,204.95,5,0.0,100.4255,2,10,4,6,2017,15,204.95
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,1085.42,7,0.0,282.2092,4,10,4,0,2016,31,1085.42
Second Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Storage,270.34,14,0.0,75.6952,5,10,4,4,2015,2,270.34
First Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Art,12.84,3,0.0,3.4668,1,2,1,6,2017,19,12.84
First Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,44.67,3,0.0,12.0609,1,2,1,6,2017,19,44.67
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,48.94,1,0.0,24.47,2,7,3,3,2016,7,48.94
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,46.35,5,0.0,21.7845,2,6,2,3,2016,16,46.35
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,19.44,3,0.0,9.3312,7,11,4,1,2014,4,19.44
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,20.96,2,0.0,5.24,6,6,2,3,2015,25,20.96
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,304.23,3,0.0,9.1269,6,6,2,3,2015,25,304.23
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Appliances,361.96,2,0.0,101.3488,5,12,4,2,2014,24,361.96
Standard Class,Home Office,Los Angeles,California,90045,West,Technology,Accessories,62.85,3,0.0,13.1985,5,12,4,2,2014,24,62.85
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Storage,20.34,1,0.0,0.2034,5,12,4,2,2014,24,20.34
Standard Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,23.99,1,0.0,5.5177,5,12,4,2,2014,24,23.99
Second Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Art,8.26,2,0.0,3.7996,2,8,3,4,2016,26,8.26
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,123.92,4,0.0,33.4584,2,4,2,3,2017,27,123.92
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,12.39,3,0.0,5.6994,2,4,2,3,2017,27,12.39
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,47.3,2,0.0,12.298,2,4,2,3,2017,27,47.3
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,18.84,3,0.0,6.0288,5,11,4,0,2017,27,18.84
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Paper,56.7,5,0.0,27.783,4,1,1,6,2016,31,56.7
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,86.26,2,0.0,29.3284,5,2,1,3,2017,2,86.26
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,139.04,4,0.0,38.9312,5,2,1,3,2017,2,139.04
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Appliances,46.8,4,0.0,16.38,5,2,1,3,2017,2,46.8
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,725.84,4,0.0,210.4936,2,3,1,1,2017,21,725.84
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,15.54,3,0.0,7.6146,4,8,3,6,2016,14,15.54
Second Class,Corporate,Los Angeles,California,90045,West,Technology,Accessories,109.53,3,0.0,47.0979,3,2,1,5,2017,18,109.53
Second Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Labels,9.82,2,0.0,4.8118,3,2,1,5,2017,18,9.82
Standard Class,Consumer,Los Angeles,California,90045,West,Technology,Accessories,36.24,1,0.0,15.2208,4,2,1,0,2016,22,36.24
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Fasteners,10.65,3,0.0,5.0055,4,2,1,0,2016,22,10.65
First Class,Consumer,Los Angeles,California,90045,West,Technology,Accessories,1649.95,5,0.0,659.98,3,12,4,5,2016,3,1649.95
First Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,111.9,6,0.0,51.474,3,12,4,5,2016,3,111.9
Second Class,Corporate,Los Angeles,California,90045,West,Furniture,Furnishings,21.12,4,0.0,6.5472,5,2,1,3,2017,9,21.12
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,56.7,9,0.0,26.082,4,9,3,3,2017,14,56.7
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,22.5,6,0.0,10.8,2,6,2,4,2016,17,22.5
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,219.84,4,0.0,107.7216,2,6,2,4,2016,17,219.84
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,59.92,4,0.0,27.5632,5,4,2,6,2014,20,59.92
Second Class,Corporate,Los Angeles,California,90045,West,Furniture,Furnishings,289.24,7,0.0,26.0316,2,8,3,1,2014,19,289.24
First Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,15.51,1,0.0,3.8775,2,9,3,3,2017,21,15.51
